time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:15:38	0.0	0.0	1.04	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:38	0.0	0.0	1.04	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:38	0.0	0.0	1.04	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0
17:15:39	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:40	0.0	0.0	1.05	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:41	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.04	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.03	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:42	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.02	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:43	0.0	0.0	1.02	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:44	0.0	0.0	1.01	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	1.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	1.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	0.99	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	0.99	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	0.99	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	0.99	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:45	0.0	0.0	0.99	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	0.99	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	0.99	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	0.99	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	0.99	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	0.99	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:46	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
17:15:47	0.0	0.0	1.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.99	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.99	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.99	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.99	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.98	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
17:15:48	0.0	0.0	0.98	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.98	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.98	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.97	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.97	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.97	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.97	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:49	0.0	0.0	0.97	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.97	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:50	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:51	0.0	0.0	0.96	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:52	0.0	0.0	0.95	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:52	0.0	0.0	0.95	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:52	0.0	0.0	0.95	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:52	0.0	0.0	0.95	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
